State	GenBankAccession	CollectionDate
California	MK628434	01/2019
California	MN544452	08/2019
California	MN544455	08/2019
California	MN602381	10/2019
California	MN922195	10/2019
California	MN922189	10/2019
California	MN922185	12/2019
Colorado	MN922182	12/2019
Colorado	MN922191	12/2019
Colorado	MN922181	12/2019
Florida	MN544447	03/2019
Hawaii	MN922187	10/2019
Illinois	MK628431	01/2019
Illinois	MK693115	01/2019
Illinois	MK636585	02/2019
NewYork	MN602389	10/2019
Washington	MN922192	11/2019
California	MN544454	05/2019
California	MN544453	06/2019
California	MN544472	09/2019
California	MN602380	10/2019
Connecticut	MK628428	01/2019
Connecticut	MK628426	01/2019
Connecticut	MN922188	10/2019
Florida	MN544448	04/2019
Florida	MN602379	10/2019
Georgia	MK628427	01/2019
Georgia	MK628435	01/2019
Georgia	MN544445	04/2019
Georgia	MN544444	04/2019
Georgia	MN544449	06/2019
Georgia	MN922186	10/2019
Georgia	MN922193	11/2019
Hawaii	MK628429	01/2019
Hawaii	MK628433	01/2019
Illinois	MK682825	03/2019
Illinois	MK636586	02/2019
Maryland	MK791247	04/2019
Maryland	MK791246	04/2019
Maryland	MN544446	04/2019
Maryland	MN544443	04/2019
Massachusetts	MK765876	03/2019
NewJersey	MN922190	10/2019
NewYork	MN922194	08/2019
NewYork	MN544460	08/2019
NewYork	MN544462	08/2019
NewYork	MN544463	08/2019
NewYork	MN544461	08/2019
NewYork	MN544464	09/2019
NewYork	MN544471	09/2019
NewYork	MN544470	09/2019
NewYork	MN602388	10/2019
Oregon	MK628432	01/2019
Oregon	MN544456	08/2019
Oregon	MN544458	08/2019
Oregon	MN544457	08/2019
Oregon	MN544459	08/2019
Oregon	MN922183	10/2019
Pennsylvania	MN544450	06/2019
Pennsylvania	MN544469	09/2019
Texas	MN544451	06/2019
Texas	MN922184	12/2019
